LandisData  EcoregionParameters
EcoregionParameters	PrecLossFrac	climateFileName	SoilType	RootingDepth	LeakageFrac	SnowSublimFrac
eco11	0.73	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	SILO	1000	1	0.15
eco12	0.61	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	SALO	1000	1	0.15
eco13	0.53	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	LOSA	1000	1	0.15
eco14	0.69	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	CLAY	1000	1	0.15
eco15	0.81	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	SILT	1000	1	0.15
eco16	0.61	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	LOAM	1000	1	0.15
eco17	0.57	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/1_june_2016_cr_currentrcp85_climate.txt	SAND	1000	1	0.15
eco21	0.73	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	SILO	1000	1	0.15
eco22	0.57	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	SALO	1000	1	0.15
eco23	0.53	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	LOSA	1000	1	0.15
eco24	0.65	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	CLAY	1000	1	0.15
eco25	0.81	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	SILT	1000	1	0.15
eco26	0.61	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	LOAM	1000	1	0.15
eco27	0.65	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/2_june_2016_cr_currentrcp85_climate.txt	SAND	1000	1	0.15
eco31	0.73	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/3_june_2016_cr_currentrcp85_climate.txt	SILO	1000	1	0.15
eco32	0.57	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/3_june_2016_cr_currentrcp85_climate.txt	SALO	1000	1	0.15
eco33	0.57	Y:/LANDIS_INPUTS/climate_data/pnet_climate/current_june_2016_25NC/3_june_2016_cr_currentrcp85_climate.txt	LOSA	1000	1	0.15
